PING 10.244.1.19 (10.244.1.19) 56(84) bytes of data.
64 bytes from 10.244.1.19: icmp_seq=1 ttl=62 time=17.7 ms
64 bytes from 10.244.1.19: icmp_seq=2 ttl=62 time=12.8 ms
64 bytes from 10.244.1.19: icmp_seq=3 ttl=62 time=4.88 ms
64 bytes from 10.244.1.19: icmp_seq=4 ttl=62 time=4.01 ms
64 bytes from 10.244.1.19: icmp_seq=5 ttl=62 time=19.3 ms
64 bytes from 10.244.1.19: icmp_seq=6 ttl=62 time=3.63 ms
64 bytes from 10.244.1.19: icmp_seq=7 ttl=62 time=3.51 ms
64 bytes from 10.244.1.19: icmp_seq=8 ttl=62 time=14.3 ms
64 bytes from 10.244.1.19: icmp_seq=9 ttl=62 time=6.36 ms
64 bytes from 10.244.1.19: icmp_seq=10 ttl=62 time=6.14 ms
64 bytes from 10.244.1.19: icmp_seq=11 ttl=62 time=10.8 ms
64 bytes from 10.244.1.19: icmp_seq=12 ttl=62 time=5.34 ms
64 bytes from 10.244.1.19: icmp_seq=13 ttl=62 time=6.40 ms
64 bytes from 10.244.1.19: icmp_seq=14 ttl=62 time=5.38 ms
64 bytes from 10.244.1.19: icmp_seq=15 ttl=62 time=4.66 ms
64 bytes from 10.244.1.19: icmp_seq=16 ttl=62 time=11.7 ms
64 bytes from 10.244.1.19: icmp_seq=17 ttl=62 time=5.78 ms
64 bytes from 10.244.1.19: icmp_seq=18 ttl=62 time=9.96 ms
64 bytes from 10.244.1.19: icmp_seq=19 ttl=62 time=3.16 ms
64 bytes from 10.244.1.19: icmp_seq=20 ttl=62 time=3.16 ms
64 bytes from 10.244.1.19: icmp_seq=21 ttl=62 time=8.24 ms
64 bytes from 10.244.1.19: icmp_seq=22 ttl=62 time=8.18 ms
64 bytes from 10.244.1.19: icmp_seq=23 ttl=62 time=5.24 ms
64 bytes from 10.244.1.19: icmp_seq=24 ttl=62 time=3.41 ms
64 bytes from 10.244.1.19: icmp_seq=25 ttl=62 time=4.06 ms
64 bytes from 10.244.1.19: icmp_seq=26 ttl=62 time=4.33 ms
64 bytes from 10.244.1.19: icmp_seq=27 ttl=62 time=6.78 ms
64 bytes from 10.244.1.19: icmp_seq=28 ttl=62 time=6.09 ms
64 bytes from 10.244.1.19: icmp_seq=29 ttl=62 time=10.7 ms
64 bytes from 10.244.1.19: icmp_seq=30 ttl=62 time=4.47 ms
64 bytes from 10.244.1.19: icmp_seq=31 ttl=62 time=3.40 ms
64 bytes from 10.244.1.19: icmp_seq=32 ttl=62 time=10.1 ms
64 bytes from 10.244.1.19: icmp_seq=33 ttl=62 time=6.49 ms
64 bytes from 10.244.1.19: icmp_seq=34 ttl=62 time=8.47 ms
64 bytes from 10.244.1.19: icmp_seq=36 ttl=62 time=4.04 ms
64 bytes from 10.244.1.19: icmp_seq=37 ttl=62 time=4.50 ms
64 bytes from 10.244.1.19: icmp_seq=38 ttl=62 time=11.4 ms
64 bytes from 10.244.1.19: icmp_seq=39 ttl=62 time=12.5 ms
64 bytes from 10.244.1.19: icmp_seq=40 ttl=62 time=3.47 ms
64 bytes from 10.244.1.19: icmp_seq=41 ttl=62 time=3.66 ms
64 bytes from 10.244.1.19: icmp_seq=42 ttl=62 time=14.1 ms
64 bytes from 10.244.1.19: icmp_seq=43 ttl=62 time=4.87 ms
64 bytes from 10.244.1.19: icmp_seq=44 ttl=62 time=13.9 ms
64 bytes from 10.244.1.19: icmp_seq=45 ttl=62 time=5.81 ms
64 bytes from 10.244.1.19: icmp_seq=46 ttl=62 time=8.30 ms
64 bytes from 10.244.1.19: icmp_seq=47 ttl=62 time=6.77 ms
64 bytes from 10.244.1.19: icmp_seq=48 ttl=62 time=13.2 ms
64 bytes from 10.244.1.19: icmp_seq=49 ttl=62 time=13.2 ms
64 bytes from 10.244.1.19: icmp_seq=50 ttl=62 time=5.55 ms
64 bytes from 10.244.1.19: icmp_seq=51 ttl=62 time=7.38 ms
64 bytes from 10.244.1.19: icmp_seq=52 ttl=62 time=13.4 ms
64 bytes from 10.244.1.19: icmp_seq=53 ttl=62 time=3.54 ms
64 bytes from 10.244.1.19: icmp_seq=54 ttl=62 time=6.43 ms
64 bytes from 10.244.1.19: icmp_seq=55 ttl=62 time=11.5 ms
64 bytes from 10.244.1.19: icmp_seq=56 ttl=62 time=10.7 ms
64 bytes from 10.244.1.19: icmp_seq=57 ttl=62 time=12.1 ms
64 bytes from 10.244.1.19: icmp_seq=58 ttl=62 time=7.88 ms
64 bytes from 10.244.1.19: icmp_seq=59 ttl=62 time=4.03 ms
64 bytes from 10.244.1.19: icmp_seq=60 ttl=62 time=7.03 ms
64 bytes from 10.244.1.19: icmp_seq=61 ttl=62 time=4.12 ms
64 bytes from 10.244.1.19: icmp_seq=62 ttl=62 time=3.90 ms
64 bytes from 10.244.1.19: icmp_seq=63 ttl=62 time=5.30 ms
64 bytes from 10.244.1.19: icmp_seq=64 ttl=62 time=5.50 ms
64 bytes from 10.244.1.19: icmp_seq=65 ttl=62 time=5.21 ms
64 bytes from 10.244.1.19: icmp_seq=66 ttl=62 time=8.06 ms
64 bytes from 10.244.1.19: icmp_seq=67 ttl=62 time=3.74 ms
64 bytes from 10.244.1.19: icmp_seq=68 ttl=62 time=5.57 ms
64 bytes from 10.244.1.19: icmp_seq=69 ttl=62 time=4.79 ms
64 bytes from 10.244.1.19: icmp_seq=70 ttl=62 time=4.58 ms
64 bytes from 10.244.1.19: icmp_seq=71 ttl=62 time=15.1 ms
64 bytes from 10.244.1.19: icmp_seq=72 ttl=62 time=47.5 ms
64 bytes from 10.244.1.19: icmp_seq=73 ttl=62 time=4.57 ms
64 bytes from 10.244.1.19: icmp_seq=74 ttl=62 time=13.2 ms
64 bytes from 10.244.1.19: icmp_seq=75 ttl=62 time=11.2 ms
64 bytes from 10.244.1.19: icmp_seq=76 ttl=62 time=21.3 ms
64 bytes from 10.244.1.19: icmp_seq=77 ttl=62 time=5.05 ms
64 bytes from 10.244.1.19: icmp_seq=78 ttl=62 time=4.10 ms
64 bytes from 10.244.1.19: icmp_seq=79 ttl=62 time=8.35 ms
64 bytes from 10.244.1.19: icmp_seq=80 ttl=62 time=4.89 ms
64 bytes from 10.244.1.19: icmp_seq=81 ttl=62 time=4.19 ms
64 bytes from 10.244.1.19: icmp_seq=82 ttl=62 time=3.61 ms
64 bytes from 10.244.1.19: icmp_seq=83 ttl=62 time=6.42 ms
64 bytes from 10.244.1.19: icmp_seq=84 ttl=62 time=14.8 ms
64 bytes from 10.244.1.19: icmp_seq=85 ttl=62 time=2.87 ms
64 bytes from 10.244.1.19: icmp_seq=86 ttl=62 time=4.88 ms
64 bytes from 10.244.1.19: icmp_seq=87 ttl=62 time=4.16 ms
64 bytes from 10.244.1.19: icmp_seq=88 ttl=62 time=7.59 ms
64 bytes from 10.244.1.19: icmp_seq=89 ttl=62 time=6.27 ms
64 bytes from 10.244.1.19: icmp_seq=90 ttl=62 time=6.23 ms
64 bytes from 10.244.1.19: icmp_seq=91 ttl=62 time=3.66 ms
64 bytes from 10.244.1.19: icmp_seq=92 ttl=62 time=7.55 ms
64 bytes from 10.244.1.19: icmp_seq=93 ttl=62 time=9.11 ms
64 bytes from 10.244.1.19: icmp_seq=94 ttl=62 time=3.47 ms
64 bytes from 10.244.1.19: icmp_seq=95 ttl=62 time=4.83 ms
64 bytes from 10.244.1.19: icmp_seq=96 ttl=62 time=14.9 ms
64 bytes from 10.244.1.19: icmp_seq=97 ttl=62 time=14.2 ms
64 bytes from 10.244.1.19: icmp_seq=98 ttl=62 time=12.4 ms
64 bytes from 10.244.1.19: icmp_seq=99 ttl=62 time=9.74 ms
64 bytes from 10.244.1.19: icmp_seq=100 ttl=62 time=5.97 ms

--- 10.244.1.19 ping statistics ---
100 packets transmitted, 99 received, 1% packet loss, time 99152ms
rtt min/avg/max/mdev = 2.871/7.987/47.468/5.677 ms
